   №,ПРОДУКТ / УСЛУГА ,ОПЕРАЦИЯ,ДБО,ОС,ВЕРСИЯ,ВОПРОС,Видео-инструкция,Инструкция в FAQ,"Инструкция 
на сайте",1,2,3,4,5,6,7,8,9,10,11,12
340,Карты,Лимиты,ИБ,,,"Как посмотреть, какую сумму от установленного лимита я уже потратил",,,,На экране «Мои продукты» в разделе «Карты» найдите нужную вам карту и нажмите «Еще».,Нажмите «Лимиты».,"Под каждым лимитом отображается шкала, которая показывает, какая сумма из заданного лимита уже израсходована и какая осталась.",,,,,,,,,
341,Карты,История операций,ИБ,,,Как найти операцию по карте в истории операций с помощью поиска,,,,Перейдите на вкладку «Мои продукты».,"На вкладке «По картам» в строке поиска введите запрос. Искать операции можно по категории, статуса, комментарию, названию магазина, организации, по номеру телефона и диапозону сумму (например, 100-200).","Ниже отобразятся операции, которые подходят под ваш запрос.",,,,,,,,,
342,Карты,Настройки приватности,ИБ,,,Как скрыть баланс карты,,https://www.open.ru/faq#2150 https://www.open.ru/credit_cards/faq#1744 ,,На экране «Мои продукты» в разделе «Карты» найдите нужную вам карту.,Нажмите на иконку глаза рядом с балансом.,"Баланс карты будет скрыт на всех экранах в интернет-банке, в том числе при совершении платежей и переводов. Включить отображение баланса можно, нажав на эту же иконку.",,,,,,,,,
343,Карты,Настройки приватности,ИБ,,,Как скрыть карту,,https://www.open.ru/faq#2151 https://www.open.ru/credit_cards/faq#1743,,На экране «Мои продукты» в разделе «Карты» найдите нужную вам карту.,Нажмите «Ещё».,Выберите «Настройки приватности».,Выберите «Скрыть карту» — передвиньте ползунок.,Нажмите «Сохранить».,"Нажмите «Понятно, скрыть».","Карта не будет отображаться в интернет-банке, но при этом доступна для операций, в том числе платежей и переводов.
 
 Найти карту и изменить настройки приватности можно в разделе «Скрытые продукты» в настройках профиля.",,,,,
344,Карты,Кредитные карты,МБ,Android,2.37 и выше,Как оформить рефинансирование кредитной карты другого банка,,,,На экране «Мои деньги» перейдите в раздел «Карты» и выберите нужную кредитную карту.,Перейдите в раздел «Настройки».,Нажмите «Рефинансировать другую карту».,"Ознакомьтесь, как работает рефинансирование и нажмите «Рефинансировать».","Укажите номер кредитной карты, которую хотите рефинансировать, введите сумму задолженнности, которую нужно погасить и нажмите «Далее».",Нажмите «Перевести».,Введите SMS-код для подтверждения операции.,"Деньги в зависимости от банка получателя зачислятся на счет в срок от нескольких минут до нескольких дней. 
 
Банк не возьмет комиссию за перевод, если в течение 92 дней после рефинансирования вы закроете кредитную карту другого банка и расторгните договор. Если этого не сделать комиссия составит 5,9% от суммы перевода плюс 590 рублей.",,,,
345,Карты,Кредитные карты,ИБ,,,Как оформить кредитную карту,,https://www.open.ru/credit_cards/faq#1048,https://www.open.ru/credit_cards/faq#1048,На экране «Мои продукты» в разделе «Карты» нажмите «Оформить карту».,"Выберите «Кредитные» в верхней части экрана. Выберите, какую карту хотите оформить, и нажмите «Продолжить».","Введите SMS-код, подтвердите согласие на обработку персональных данных и нажмите «Подтвердить код».",Проверьте и введите недостающие данные и нажмите «Подтвердить».,"Введите дополнительные данные: доход и способ его подтверждения, наличие пенсии, тип образования, город получения карты. Нажмите «Получить предварительное одобрение».",Дождитесь предварительного одобрения карты.,"Если заявка предварительно одобрена, укажите размер кредитного лимита и сведения о работе. Нажмите «Продолжить».","Выберите способ доставки карты, проверьте имя на карте и введите кодовое слово. Укажите дополнительную информацию: email, семейное положение и другие данные. Нажмите «Продолжить».",Укажите информацию о дополнительном источнике дохода и нажмите «Получить карту».,"Дождитесь SMS с решением банка. Если заявка на оформление кредитной карты одобрена, подготовьте необходимые документы — доставим карту выбранными вами способом.",,
346,Карты,Просмотр баланса,МБ,iOS,2.88 и выше,Функция больше недоступна. Как посмотреть баланс карты с помощью клавиатуры OpenKey,,https://www.open.ru/openkey#1813 https://www.open.ru/mobile_open_ru#2246 ,"https://www.open.ru/mobile_open_ru
 https://www.open.ru/openkey","Нажмите на значок глобуса (иконку смены языка) в нижнем левом углу экрана, чтобы открыть клавиатуру OpenKey.",Нажмите «Мои продукты».,В разделе «Карты» найдите нужную карту — баланс отображается над ее названием.,,,,,,,,,
347,Карты,Реквизиты,МБ,iOS,2.88 и выше,Функция больше недоступна. Как отправить реквизиты счета карты с помощью клавиатуры OpenKey,,https://www.open.ru/openkey#1812 https://www.open.ru/mobile_open_ru#2245 ,"
 https://www.open.ru/openkey","Нажмите на значок глобуса (иконку смены языка) в нижнем левом углу экрана, чтобы открыть клавиатуру OpenKey.",Нажмите «Мои продукты».,"В разделе «Карты» найдите нужную карту и нажмите «Отправить реквизиты» — реквизиты автоматически скопируются и вставятся в поле для ввода в приложении, которым вы в этот момент пользуетесь.",,,,,,,,,
348,Карты,История операций,МБ,iOS,2.88 и выше,Функция больше недоступна. Как посмотреть недавние операции по картам с помощью клавиатуры OpenKey,,https://www.open.ru/openkey#1814 https://www.open.ru/mobile_open_ru#2247,"https://www.open.ru/mobile_open_ru
 https://www.open.ru/openkey","Нажмите на значок глобуса (иконку смены языка) в нижнем левом углу экрана, чтобы открыть клавиатуру OpenKey.",Потяните снизу вверх раздел «Недавние операции» — в списке отразятся 20 последних операций по всем вашим картам.,,,,,,,,,,
349,Карты,Страхование,ИБ,,,Как застраховать карту,,,,Перейдите на вкладку «Страхование».,"В разделе программы «Защита карты» ознакомьтесь с условиями страхования и выберите, к какой карте подключить страховку.",Нажмите «Подключить».,Введите SMS-код для подтверждения.,,,,,,,,
350,Карты,Страхование,ИБ,,,Как отключить страхование карты,,,,Перейдите на вкладку «Страхование».,"В разделе программы «Защита карты» найдите карту, у которой хотите отключить страховку.","Нажмите «Отключить» справа от названия карты.

Примечание: Если отключить страховку для карты, подключить ее еще раз будет невозможно.",Введите SMS-код для подтверждения.,,,,,,,,
351,Карты,Страхование,ИБ,,,Можно ли повторно застраховать карту,,,,"Если вы отключили страхование, застраховать карту повторно не получится. Посключить эту слугой можно только для другой карты.",,,,,,,,,,,
352,Карты,Страхование,ИБ,,,"Как посмотреть, застрахована ли карта",,,,Перейдите в раздел «Карты» во вкладке «Мои продукты»,"Найдите нужную карту — иконка со статусом страховки отображается рядом с ее названием.
 
 Зеленая иконка означает, что карта застрахована по программе «Защита карты». Наведите на значок, чтобы узнать, срок действия страховки. 
 
 Желтая иконка означает, что карта не застрахована: программа «Защита карты» подключена, но не оплачена. Пополните баланс карты, чтобы продлить страховку.
 
 Серая иконка означает, что карта не застрахована: программа «Защиты карты» не подключена. Нажмите на иконку, чтобы перейти во вкладку «Страхование» и подключить страховку.",,,,,,,,,,
353,Карты,Виртуальная карта,МБ,Android,2.38 и выше,Как оформить виртуальную карту,,https://www.open.ru/faq#1566,https://www.open.ru/faq#1566,"На экране «Мои деньги» в разделе «Карты» нажмите «Оформить карту». 
 
 Примечание: Карту можно оформить в рублях, долларах и евро. Выпустить карту можно, только если есть действующая пластиковая, стоимость выпуска — 99 рублей, комиссия будет списана после первой оплаты картой. Срок действия карты — 8 лет.
 
 Для виртуальной карты доступны те же услуги, что и для пластиковой, кроме перевыпуска. Виртуальную карту удобнее всего использовать для оплаты услуг в интернете, но ей также можно расплачиваться в обычных магазинах с помощью смартфона с функцией NFC — бесконтактной оплаты. Для этого карту нужно добавить в электронный кошелек — в Apple Pay, Samsung Pay или Google play.",В слайдере в новом окне выберите «Виртуальная Opencard».,Нажмите «Оформить сейчас».,"Выберите валюту, платежную систему и ознакомьтесь с условиями оформления, обслуживания и тарифом карты.",Нажмите «Оформить».,"Заявка на оформление карты отправлена. Выпуск карты занимает 1—2 минуты. Когда карта будет выпущена, вы получите SMS-сообщение, а карта отобразится на экране «Мои деньги».",,,,,,
354,Карты,Виртуальная карта,МБ,Android,2.43 и выше,Как оформить виртуальную карту дополнительно к действующей пластиковой,,https://www.open.ru/faq#1566,,На экране «Мои деньги» в разделе «Карты» выберите нужную карту Opencard.,Перейдите на вкладку «Настройки».,Выберите «Дополнительная виртуальная карта».,Ознакомьтесь с преимуществами виртуальной карты. Нажмите «Понятно».,"Выберите платежную систему ― Visa, Mastercard или Мир. Ознакомьтесь с условиями оформления и обслуживания карты.",Нажмите «Оформить». Виртуальная карта будет выпущена в течение нескольких минут — дождитесь SMS с уведомлением о ее готовности. После этого карта появится на экране «Мои деньги».,,,,,,
355,Карты,Виртуальная карта,МБ,iOS,3.05 и выше,Как оформить виртуальную карту дополнительно к действующей пластиковой,,https://www.open.ru/faq#1566,,На экране «Мои деньги» в разделе «Карты» выберите нужную карту Opencard.,Перейдите на вкладку «Настройки».,Выберите «Дополнительная виртуальная карта».,Ознакомьтесь с преимуществами виртуальной карты. Нажмите «Понятно».,"Выберите платежную систему ― Visa, Mastercard или Мир. Ознакомьтесь с условиями оформления и обслуживания карты.",Нажмите «Оформить». Виртуальная карта будет выпущена в течение нескольких минут — дождитесь SMS с уведомлением о ее готовности. После этого карта появится на экране «Мои деньги».,,,,,,
356,Карты,Виртуальная карта,МБ,Android,2.38 и выше,Как активировать виртуальную карту,,https://www.open.ru/faq#1567,https://www.open.ru/faq#1567,На экране «Мои деньги» в разделе «Карты» найдите виртуальную карту.,Нажмите «Активир.» справа от названия виртуальной карты.,Придумайте и подтвердите PIN-код.,Введите SMS-код для подтверждения активации карты.,"Карта активирована. Вы можете ее пополнить с карты «Открытия» или другого банка, посмотреть ее реквизиты и добавить в Apple Pay или Google Pay.",,,,,,,
357,Карты,Дебетовая Opencard,МБ,Android,2.38 и выше,Как оформить дебетовую карту Opencard с доставкой,,https://www.open.ru/faq#1568,https://www.open.ru/faq#1568,На экране «Мои деньги» в разделе «Карты» нажите «Оформить карту».,В слайдере в новом окне выберите «Opencard Дебетовая».,Нажмите «Оформить сейчас».,"Выберите валюту, платежную систему и ознакомьтесь с условиями оформления, обслуживания и тарифом карты.",Нажмите «Детали доставки».,"Укажите город, адрес, дату, время доставки и, если необходимо, оставьте комментарий. Нажмите «Оформить карту».
  
 Если в вашем городе не доступна доставка сотрудником банка, закажите доставку в офис банка.",За день до доставки вам придет SMS-сообщение с напоминанием. В день доставки позвонит представитель банка. Вы в любой момент сможете перенести дату доставки по ссылке из SMS-сообщения.,,,,,
358,Карты,Лимиты,МБ,Android,2.38 и выше,Как посмотреть лимиты на бесплатные переводы по карте,,,,"Перейдите в раздел «Карты» на экране «Мои деньги». 
 
 Примечание: Лимиты на бесплатные переводы отображаются для всех дебетовых и кредитных карт.","Выберите карту, для которой хотите посмотреть лимиты.",На экране карты смахните верхнюю часть (где указана баланса) влево — на карточке отобразятся лимиты на переводы с карты: доступная сумма и использованная.,,,,,,,,,
359,Карты,История операций,МБ,Android,2.38 и выше,Как посмотреть историю операций за конкретный период,,,,На экране «Мои деньги» в разделе «Карты» нажмите на нужную карту.,В разделе «Инфо» выберите «История операций».,Нажмите на кнопку с названием месяца в верхней части экрана.,Нажмите «Выбрать период...»,Выберите дату начала периода и нажмите «Далее».,Выберите дату конца периода и нажмите «Показать».,"В истории отобразятся операции за выбранный период. 
 
 Чтобы вернуться обратно к просмотру операций за все время, нажмите «Сбросить» рядом с фильтрами.",,,,,
360,Карты,История операций,МБ,iOS,2.89 и выше,Как посмотреть историю операций за конкретный период,,,,На экране «Мои деньги» в разделе «Карты» нажмите на нужную карту,В разделе «Инфо» выберите «История операций».,Нажмите на кнопку с названием месяца в верхней части экрана.,Нажмите «Выбрать период...»,Выберите дату начала периода и нажмите «Далее».,Выберите дату конца периода и нажмите «Показать».,"В истории отобразятся операции за выбранный период. 
 
 Чтобы вернуться обратно к просмотру операций за все время, нажмите «Сбросить» рядом с фильтрами.",,,,,
361,Карты,История операций,МБ,Android,2.38 и выше,Как посмотреть историю операций по конкретным категориям,,,,На экране «Мои деньги» в разделе «Карты» нажмите на нужную карту,В разделе «Инфо» выберите «История операций».,Нажмите на кнопку «Фильтр» в верхней части экрана.,Выберите из списка одну или несколько категорий.,Нажмите «Применить».,"Отобразится история операций и аналитика финансов в выбранных категориях.
 
 Чтобы отменить фильтр, нажмите «Сбросить».",,,,,,
362,Карты,История операций,МБ,iOS,2.89 и выше,Как посмотреть историю операций по конкретным категориям,,,,На экране «Мои деньги» в разделе «Карты» нажмите на нужную карту,В разделе «Инфо» выберите «История операций».,Нажмите на кнопку «Фильтр» в верхней части экрана.,Выберите из списка одну или несколько категорий.,Нажмите «Применить».,"Отобразится история операций и аналитика финансов в выбранных категориях.
 
 Чтобы отменить фильтр, нажмите «Сбросить».",,,,,,
363,Карты,Аналитика финансов,МБ,Android,2.38 и выше,Как посмотреть аналитику финансов по карте,,"https://www.open.ru/faq#1829  
https://www.open.ru/mobile_open_ru#2258","https://www.open.ru/faq 
 https://www.open.ru/mobile_open_ru",На экране «Мои деньги» выберите нужную карту и нажмите на нее,В разделе «Инфо» нажмите «История операций»,"Нажмите «Аналитика финансов». На экране отобразятся две круговые диаграммы — «Расходы» и «Пополнения». Нажмите на диаграмму, по которой хотите посмотреть аналитику","Аналитику финансов можно просматривать в разных категориях, по разным типам операций и за разные периоды — текущий месяц, последняя неделя, год и конкретный период.",,,,,,,,
364,Карты,Аналитика финансов,МБ,Android,2.38 и выше,Как в аналитике финансов посмотреть расходы,,,,На экране «Мои деньги» выберите нужную карту и нажмите на нее,В разделе «Инфо» нажмите «История операций»,Нажмите «Аналитика финансов»,На экране отобразятся две круговые диаграммы — «Расходы» и «Пополнения»,"Нажмите на диаграмму «Расходы». Под диаграммой отображаются три категории покупок, на которые вы потратили больше всего. В каждой категории указана сумма расходов и доля от общей суммы расходов в процентах","Чтобы посмотреть данные о расходах во всех категориях, нажмите «Больше категорий»","Нажмите на категорию, если хотите посмотреть историю операций по ней в выбранном периоде",,,,,
365,Карты,Аналитика финансов,МБ,Android,2.38 и выше,Как в аналитике финансов посмотреть пополнения,,,,На экране «Мои деньги» выберите нужную карту и нажмите на нее,В разделе «Инфо» нажмите «История операций»,Нажмите «Аналитика финансов»,На экране отобразятся две круговые диаграммы — «Расходы» и «Пополнения»,Свайпните справо налево и нажмите на диаграмму «Пополнения»,Под диаграммой отображаются категории пополнений. В каждой категории указана сумма и доля от общей суммы пополнений в процентах,"Чтобы посмотреть данные о пополениях во всех категориях, нажмите «Больше категорий»","Нажмите на категорию, если хотите посмотреть историю операций по ней в выбранном периоде",,,,
366,Карты,Аналитика финансов,МБ,Android,2.38 и выше,Как в аналитике финансов посмотреть расходы за разные периоды,,,,На экране «Мои деньги» выберите нужную карту и нажмите на нее,В разделе «Инфо» нажмите «История операций»,Нажмите «Аналитика финансов»,На экране отобразятся две круговые диаграммы — «Расходы» и «Пополнения»,Нажмите на диаграмму «Расходы»,"По умолчанию данные отображаются за текущий месяц. Нажмите на название месяца в верхнем левом углу, чтобы выбрать другой период: последнюю неделю, год или любой другой конкретный период.","На экране оторбразится диаграмма с расходами за выбранный период. 
 
 Примечание: Между периодами можно быстро переключаться, нажимая на стрелочки справа и слева от диаграмм, а также пролистывая диаграмму вправо и влево. Например, если выбран период «Неделя», таким образом можно быстро переключаться с текущей недели на прошедшие.",,,,,
367,Карты,Аналитика финансов,МБ,Android,2.38 и выше,Как в аналитике финансов посмотреть пополнения за разные периоды,,,,На экране «Мои деньги» выберите нужную карту и нажмите на нее,В разделе «Инфо» нажмите «История операций»,Нажмите «Аналитика финансов»,На экране отобразятся две круговые диаграммы — «Расходы» и «Пополнения»,Нажмите на диаграмму «Пополнения».,"По умолчанию данные отображаются за текущий месяц. Нажмите на название месяца в верхнем левом углу, чтобы выбрать другой период: последню неделю, год или любой другой конкретный период.","На экране оторбразится диаграмма с пополнениями за выбранный период. 
 
 Примечание: Между периодами можно быстро переключаться, нажимая на стрелочки справа и слева от диаграмм, а также пролистывая диаграмму вправо и влево. Например, если выбран период «Неделя», таким образом можно быстро переключаться с текущей недели на прошедшие.",,,,,
368,Карты,Аналитика финансов,МБ,Android,2.38 и выше,Как в аналитике финансов посмотреть расходы в конкретной категории,,,,На экране «Мои деньги» выберите нужную карту и нажмите на нее,В разделе «Инфо» нажмите «История операций»,Нажмите «Аналитика финансов»,На экране отобразятся две круговые диаграммы — «Расходы» и «Пополнения»,Нажмите на диаграмму «Расходы»,"Под диаграммой отображаются три категории расходов. В каждой категории указана сумма и доля от общей суммы расходов в процентах. Чтобы посмотреть все категории, нажмите «Больше категорий»","Выберите категорию, по которой хотите посмотреть расходы, и нажмите на нее","На экране отобразится диаграмма с расходами в выбранной категории. По умолчанию данные отображаются за текущий месяц. Чтобы выбрать другой период, нажмите на название месяца в верхнем левом углу",,,,
369,Карты,Аналитика финансов,МБ,Android,2.38 и выше,Как в аналитике финансов посмотреть пополнения в конкретной категории,,,,На экране «Мои деньги» выберите нужную карту и нажмите на нее,В разделе «Инфо» нажмите «История операций»,Нажмите «Аналитика финансов».,На экране отобразятся две круговые диаграммы — «Расходы» и «Пополнения»,Нажмите на диаграмму «Пополнения».,"Под диаграммой отображаются категории пополнений. В каждой категории указана сумма и доля от общей суммы пополнений в процентах. Чтобы посмотреть все категории, нажмите «Больше категорий»","Выберите категорию, по которой хотите посмотреть пополнения, и нажмите на нее","На экране отобразится диаграмма с пополнениями в выбранной категории. По умолчанию данные отображаются за текущий месяц. Чтобы выбрать другой период, нажмите на название месяца в верхнем левом углу.",,,,
370,Карты,Аналитика финансов,ИБ,,,Как посмотреть аналитику финансов по карте,,https://www.open.ru/faq#1829,https://www.open.ru/faq,Перейдите на вкладку «История операций».,"Выберите карту или несколько карт в одной валюте, по которым хотите посмотреть аналитику финансов.",Диаграмма с аналитикой финансов отобразится в разделе справа. По умолчанию отображается диаграмма со всеми расходами и пополнения во всех категориях.,"Аналитику финансов можно просматривать в разных категориях, по разным типам операций и за разные периоды — текущий месяц, последняя неделя, год или любой другой конкретный период. Для этого воспользуйтесь фильтрами над разделом.",,,,,,,,
371,Карты,История операций,МБ,Android,2.39 и выше,Как найти операцию по карте в истории операций с помощью поиска,,,,На экране «Мои деньги» в разделе «Карты» выберите нужную карту и нажмите на нее,В разделе «Инфо» нажмите «История операций»,На экране отобразится история операций по карте. Для поиска по истории нажмите на иконку лупы в верхнем правом углу.,"Введите запрос. Искать операции можно по категории, статусу, комментарию, названию магазина, организации, по номеру телефона. 
","Ниже под запросом отобразятся результаты поиска. Если нажать на категорию, отобразятся все операции в ней.
",,,,,,,
372,Карты,Настройки приватности,МБ,iOS,2.93 и выше,Как скрыть баланс карты,,https://www.open.ru/faq#2150 https://www.open.ru/credit_cards/faq#1744 ,,"На экране «Мои деньги» найдите карту, баланс которой хотите скрыть.","Проведите справа налево по строке с названием карты и нажмите на иконку в виде глаза. Или нажмите на карту, а затем в разделе «Настройки» выберите «Приватность».","Передвиньте ползунок напротив «Скрыть баланс».

Примечание: Баланс карты будет скрыт на всех экранах в интернет-банке и приложении, в том числе при совершении платежей и переводов. Включить отображение баланса можно в разделе «Приватность» на экране карты или нажав на иконку глаза на экране «Мои деньги».",,,,,,,,,
373,Карты,Настройки приватности,МБ,Android,2.42 и выше,Как скрыть баланс карты,,https://www.open.ru/faq#2150 https://www.open.ru/credit_cards/faq#1744 ,,"На экране «Мои деньги» найдите карту, баланс которой хотите скрыть.","Нажмите на карту, а затем в разделе «Настройки» выберите «Приватность».","Передвиньте ползунок напротив «Скрыть баланс».

Примечание: Баланс карты будет скрыт на всех экранах в интернет-банке и приложении, в том числе при совершении платежей и переводов. Включить отображение баланса можно в разделе «Приватность» на экране карты",,,,,,,,,
374,Карты,Настройки приватности,МБ,iOS,2.93 и выше,Как скрыть карту,,https://www.open.ru/faq#2151 https://www.open.ru/credit_cards/faq#1743 ,,"На экране «Мои деньги» найдите карту, баланс которой хотите скрыть.","Проведите справа налево по строке с названием карты и нажмите на иконку в виде глаза. Или нажмите на карту, а затем в разделе «Настройки» выберите «Приватность».",Передвиньте ползунок напротив «Скрыть карту».,"Нажмите «Понятно, скрыть».

Примечание: Карта не будет отображаться в интернет-банке и приложении, но при этом доступна для операций, в том числе платежей и переводов. Найти карту и изменить настройки приватности можно на экране «Профиль» в разделе «Скрытые и архивные продукты».
",,,,,,,,
375,Карты,Настройки приватности,МБ,Android,2.42 и выше,Как скрыть карту,,https://www.open.ru/faq#2151 https://www.open.ru/credit_cards/faq#1743 ,,"На экране «Мои деньги» найдите карту, баланс которой хотите скрыть.","Нажмите на карту, а затем в разделе «Настройки» выберите «Приватность».",Передвиньте ползунок напротив «Скрыть карту».,"Нажмите «Понятно, скрыть».

Примечание: Карта не будет отображаться в интернет-банке и приложении, но при этом доступна для операций, в том числе платежей и переводов. Найти карту и изменить настройки приватности можно на экране «Профиль» в разделе «Скрытые и архивные продукты».
",,,,,,,,
376,Карты,Настройки приватности,МБ,iOS,2.93 и выше,Где посмотреть скрытую карту,,,,На экране «Профиль» нажмите «Скрытые и архивные продукты»,"На экране отобразятся все скрытые продукты — карты, вклады и счета. Нажмите на карту, чтобы посмотреть подбробную информацию о ней.",,,,,,,,,,
377,Карты,Настройки приватности,МБ,Android,2.42 и выше,Где посмотреть скрытую карту,,,,На экране «Профиль» нажмите «Скрытые и архивные продукты»,"На экране отобразятся все скрытые продукты — карты, вклады и счета. Нажмите на карту, чтобы посмотреть подбробную информацию о ней.",,,,,,,,,,
378,Карты,Настройки приватности,МБ,iOS,2.93 и выше,Как снова показать скрытую карту,,,,На экране «Профиль» нажмите «Скрытые и архивные продукты»,Найдите в списке нужную карту и нажмите на нее.,Перейдите на вкладку «Настройки» и выберите «Приватность».,"Передвиньте ползунок напротив «Скрыть карту», чтобы отключить функцию.","Подвердите действие: нажмите «Да, показать».",,,,,,,
379,Карты,Настройки приватности,МБ,Android,2.42 и выше,Как снова показать скрытую карту,,,,На экране «Профиль» нажмите «Скрытые и архивные продукты»,Найдите в списке нужную карту и нажмите на нее.,Перейдите на вкладку «Настройки» и выберите «Приватность».,"Передвиньте ползунок напротив «Скрыть карту», чтобы отключить функцию.","Подвердите действие: нажмите «Да, показать».",,,,,,,
380,Карты,Виртуальная карта,ИБ,,,Как оформить дополнительную виртуальную карту,,,,"На экране «Мои продукты» в разделе «Карты» выберите дебетовую карту, для которой хотите выпустить дополнительную виртуальную. Нажмите «Ещё».

 
Примечание: Карту можно оформить в рублях, долларах и евро. Выпустить карту можно, только если есть действующая пластиковая, стоимость выпуска — 99 рублей, комиссия будет списана после первой оплаты картой. Срок действия карты — 8 лет.
 
 Для виртуальной карты доступны те же услуги, что и для пластиковой, кроме перевыпуска. Виртуальную карту удобнее всего использовать для оплаты услуг в интернете, но ей также можно расплачиваться в обычных магазинах с помощью смартфона с функцией NFC — бесконтактной оплаты. Для этого карту нужно добавить в электронный кошелек — в Apple Pay, Samsung Pay или Google play.",Выберите «Дополнительная виртуальная карта».,"Выберите платежную систему, ознакомьтесь с тарифами, условиями обслуживания, а затем нажмите «Подтвердить».
",Введите SMS-код для подтверждения выпуска карты.,Карта будет выпущена через несколько минут и появится на экране «Мои продукты» под основной картой.,,,,,,,
381,Карты,Доставка карт,ИБ,,,Как посмотреть статус доставки карты,,,,"Если вы оформили доставку карты, то информация о ней отобразится в специальном виджете на вкладке «Мои продукты». ","Нажмите на виджет, чтобы узнать о доставке подробнее или посмотреть другие доставки, если они запланированы.","Нажмите «Подробнее» напротив нужной доставки, чтобы увидеть или изменить детали: адрес, дату и время получения карты, а также комментарий.
",В открывшемся окне можно изменить любые данные. Для этого нажмите «Изменить». ,После сохранения детали доставки будут изменены — дополнительно подтверждать ничего не нужно.,,,,,,,
